Meth-od 10mg tab
 axepta 10mg tab
 axepta 25mg tab
 axepta 60mg tab
 cetadom tab
 depran forte tab
 depran-h tab
 depsol 25mg tab
 depsol forte tab
 flunil 10mg caps
 flunil 40mg caps
 lamez 100mg tab
 lamez 50mg tab
 lamez-od 100mg tab
 lamez-od 200mg tab
 lopez 2mg tab
 norwayz tab
 pregabid 50mg caps
 pregabid forte 75mg
 pregabid-me 75mg caps
pregabid forte 75mg
 pregabid-me 75mg caps
 pregabid-od 150mg tab
 rizora 5mg tab
 sertima 50mg tab
 skizoril 200mg tab
 skizoril 50mg tab
 tiaprex 25mg tab
 topaz 100mg tab
 topaz 50mg tab
 ventab dxt 25mg tab
 ventab-dxt 50mg tab
 ventab-xl 75mg tab
 zolax-sr 1. 5mg tab
appynite-30mgtab
 decotaz 30mg tab
 deritas 7. 5mg tab
 doverin 80mg tab
 doverin-m tab
 ezicas-az nasal spray
 fabulas 40mg tab
 flolev 500mg tab
 gabapin 400mg caps
 lukotas lc tab
 nafodil 25mg tab
 nafodil tab
 niftas 50mg tab
 potrate 10mg tab
 potrate syp(large)
 potrate-m syp
 potrate-mb/6 solution(large)
 potrate-mb6 tab
 quikhale - ff 125 inhaler (9. 6gm)
 quikhale - ff 250 inhaler (9. 6gm)
 quikhale - sf 250 inhaler (3. 6gm)
quikhale - ff 125 inhaler (9. 6gm)
 quikhale - ff 250 inhaler (9. 6gm)
 quikhale - sf 250 inhaler (3. 6gm)
 quikhale t caps
 quikhale-fb 100 inhaler
 quikhale-fb 200 inhaler (3. 6gm)
 quikhale-fb 400 caps
 quikhale-ff 100 caps
 quikhaler dpi device
 terapress 2mg tab
 uritas-100mg tab
 utamide tab
 veltam 0. 4mg tab
 veltam-f tab
 anxorax 10mg tab
 btxa inj
 franxit tab
 frext 50mg tab
 intalith-cr 450mg tab
 intasam 400mg tab
 levera 500mg tab
 levera solution
 levera-250 tab
 levera-xr 500mg tab
 levipride-50mg tab
 modafil-md 200mg tab
 phenytal 50mg tab
 rejunex inj
 rejunex-od caps
 rexipra 20mg tab
 risdone 1mg tab
 risdone 3mg tab
 risdone plus tab
 risdone-mt-1mg tab

acutrol 400mg tab
 arreno caps
 baclof od 20mg tab
 buspin 10mg tab
 cloba 10mg tab
 cloba-20mg tab
 clonil 25mg tab
 clonil-sr 75mg tab
 divaa 250mg tab
 divaa-od 250mg tab
 divaa-od 750mg tab
 doxin 75mg caps
 eslizen 400mg tab
 fosphen 10ml inj
 gabapin 100mg tab
 gabapin 600mg tabs
 gabapin-me tab
 gabapin-sr 450mg tab
 gudril tab
 oliza 10mg tab
 oliza 5mg tab
 pexep-cr 12. 5mg tab
 preva tab 10`s
bakflex 4mg caps
 bakflex-a tab
 bakflex-plus tab
 golbi 150mg tab
 golbi-sr 450mg tab
 hepacor sachet (each)
 inflacol 800mg tab
 inflacol tab
 itworks powder
 looz enema (small)
 looz syp (large)
 looz syp (small)
 neopride 12. 5mg inj(box)
 neopride 50mg tab
 neopride-mps tab
 ofcom tab
 rabium plus caps
 rabium-dsr caps
adapen gel
 clinka-n gel
 dezlorid 5mg tab
 etilaam-1mg tab
 flutas-150mg tab
 itaspor 100mg cap
 lomela lite cream
 momesone cream
 morr 3% solution
 morr forte solution
 numelin-75 cap
 oriel-m tab
 percuna 5 gel
 tebina 1% cream
 tretiva-10mg cap
 tretiva-25mg caps
 tretiva-5mg caps
 vb7 tab
 zeethrom-500mg tab
 amtas-at 25mg tab
 amtas-e tab
 amtas-m-50mg tab
 enapril 2. 5mg tab
 enapril-ht tab
 lipi-ez 20mg tab
 lipicure 10mg tab(bottle)
 lipicure 5mg tab
 lipicure as 150mg cap
