Alprovit + Syp
Alprovit Syp.
Alprovit Drops
A to Z Tab
A To Z NS Syrup
A to Z Syrup
A to Z Drops
A to Z Gold Cap
Insumin Forte Caps
Safedol Cap
Fefazin Caps
Maxxio Tab
Megapime 1gmInj
Cogent-DB Plus
Formin-P-Tab
Comvine Caps
Esia Tab
Blocal Tab
Acuflam P Tab
Formin 500mgTab
Clobetagen Cream
Clobetagen M Cream
Fenceta Tab
Hemfer Syp
Homocheck Caps
Nexcet 5mg Tab
Formin SR 500mg Tab
Alcoxib 90mg
Alcoxib 120mg
Ferofast Tab
Pipzo-1.125 Mg Inj
Movace 100mg
Movace-P Tab
Xone 1gm Hospital
Xone 1gm Inj
Lara 50mg Tab
Lara 25mg Tab
Lara H tab
Solufer Syp
Solufer Drop
Samurai Cap
Sorbacid Syp.
Solufer Tab
Alcal Tab
Gemfos Tab
Derrim Cream
Alflox 400mg
Taxim 1gmInjHos
Taxim 250mg
Taxim 1000mg
Fenceta Syp.
Alprovit Powder
Dip A tab
Glucoryl M1
Glucoryl M2
Algat-400mg Tab
Algat 200mg Tab
Noworm Syrup
Noworm Tab
Xone -XP 1.125gm
Gabata Plus Tab
Glucoryl 1mgTab
Glucoryl 2mgTab
Broadiclox 500
Alcipro 500 Tab
Alcipro 250 Tab
Race 2.5mg Cap
Race 5mg Cap
Dip 5mg
Race H 2.5mg
Race-H-5mg
Xone-XP-HS Inj
Taximax750mgInj
Taximax1500 Inj
Taxim 500mg Inj
Taxim-O Ped.Drp
Alcetam 400mg Tabn
Alcetam 800mg Tab
Hemfer Inj
Cetiriz 10mg Ta
Cetiriz L Tab
Zepcar 200 Dt
Melgain 2ml Ltn
Melgain 5ml Ltn
Amitax 100mg
Amitax 250mg
Tadamit 25mg Tab
Dermizole Cream
Amitax-500mg
Amitax 500 Hosp
Itopan Cap
Gemistar 320mg Tab
Clobetagen -F Cream
Alcipro 750mg
Cutiderm Cream
Cetiriz Syrup
Taxim Inj 125mg
Olesoft Lotion
Meganor Tabs
Hemfer Caps
Clavam DT Tab
Clavam 375mg
Clavam 625mg
Clavam Dry/Syp
Alcipro TN500mg
Clavam LB 625
Meganor Susp
Clavam 300mgInj
Clavam-LB DrySy
Clavam-LB BidSy
Calkem Lotion
Taxim-O 100mg
Taxim-O 200mg
Cetiriz-D Tabs
Taxim O Dry Syp
Sumo Inj.
Sumo Suspn.
Sumo Gel
Sumo Tab
Clavam Bid Syp
Taxim-O DT 100
Xpect-B Syp
Satrogyl 300mg
Xpect PD-Syp
Satrogyl-O Tab
Sumo Cold Tab
Sumoflam Tab
Sumo Spas Tab
Euclide 80mgTab
Euclide 40mg
Euclide M Tab
Portel Solution
Uvrid Lotion
Pan 40mg Tab
Pipzo 4.5gm Inj
Prowel Caps
Prowel Powder
Prowel Syp
Dandrop Lotion
Taxclav 100mgTab
Taxclav 200mgTab
Taxitorin 200 Tab
Taxclav 50mg DT
Sumo Spray
Pan-D Caps
Pan 20mg Tab
Pan 40mg Inj.
Oxum Solutn
Oxum 100ml Ltn
Alevo 250mg Tab
Alevo 500mg Tab
Rapeed 20mg Tab
Rapeed-D Cap
RT-Cef 500mg DT
Novocryl 0.25ml
Novocryl 0.5ml
Gatizen 200mg
Gatizen 400mg
Lactocal 350mg
Swich 100mg Tab
Swich 200mg Tab
Taxim-O 50mg DT
Swich 5O Susp
Ultigest 100mg
Ultigest 200mg
Swich 50mg DT
Swich 100mg DT
Swich XP 1000mg
Swich 100mg Syp
Swich XP 500mgInj
Joykem 50mg Tab
Joykem 100mg Tab
Joykem 200 Mg Tab
Pentanerve-GM-100mg
Pentanerve 100 Tab
Amlogen 5mg
Cefoxid 125 DT
Cefoxid 250 DT
Cefoxid 500 DT
Nodiclox-250mg Cap
Nodiclox 500mg Cap
Nodimox LB 250
Nodimox LB 500
Nodimox + LB250
Ondem-4mg Tab
Ondem Syrup
Ondem Inj
Ondem-P Tab
Ondem 8mg Tab
Ondem P Syp
Ondem-MD 4mg
Ondem-4ml
Satrogyl-O-Syp
Zocef 250mg Tab
Zocef 500mg Tab
Zocef Dry Syrup
Zocef 1.5gm Inj
Zocef 750mg Inj
Zaxter 1gm Inj
Trinerve Caps
Zaxter 500mgInj
Nodimox +LB 500
Trinerve Inj
Powerzox Tabs
Livoerb Syp
Zocef CV 125mg Tab
Zocef 125mg Tab
Amlogen AT Tab
Gemcal C
Olevon Caps
Gemcal Caps
Enzoflam Tab
Enzoflam Gel
Atemide Tab
Gemcal Kit Tab
Jonty Powder
Zincocet Syp
Gemcal Syrup
Zincocet-A Syp
Zincocet-P Tab
Zincocet-P Syp
Nuloc-20mg Tab
Nuloc-40mg Tab
Nuloc-D-Cap
Levoz Soft Gel
Levoz Syrup
Ceham Tab
Nombre OD 50mg
Nombre OD 100mg
Xpect A Syp
Levoz Drop
SC-Talo 5mg
SC-Talo 10mg
SC-Talo 20mg Tab
Arive 10mg Tab
Arive 15mg Tab
Donep-5mg Tab
Donep-10mg Tab
Donep Syrup
Meltolan 15mg
Meltolan 20mgRD
Meltolan2.5mgRD
Meltolan7.5mgRD
Meltolan 5mg RD
Meltolan 10mgRD
Melzap 0.25mgMD
Melzap 0.5mg MD
Melzap 1mg MD
Migrabeta TR 20mg
Migrabeta40mgCR
Migrabeta60mgCR
Migrabeta80mgCR
Calkariaa 150mg Cap
Calkariaa 300mg
Pratham 250mg Tab
Pratham 500mg Tab
Ceham Syp
P-Thrin Cream
Glintra Gel
Momisoft Cream
Minokem-2%
Minokem-5%
Swich-XP 250MG Vial
Alert -L Tab
Azento-250Mg Tab
Azento-500Mg Tab
Olesoft Cream
Riz LS Tab
Riz Plus Tab
Phenykem Inj
Depaxil CR 12.5mg tab
Depaxil CR 25mg Tab
Clavipod 100 Syp
Clavipod 100 Tab
Clavipod 225 Tab
Clavipod 325 Tab
Clavam Forte Syrup
Quitanx Tab
Solufer-XT Tab
Ondem 2ML Inj
Zocef-CV 250MG Tab
Zocef-CV 500Mg Tab
Clavam Drops
Nadikem Cream
Formin-PG-1
Formin-PG-2
Vesbal 8Mg Tab
Vesbal 16mg Tab
Alpruli Tab
Enzocort 1mg Tab
Enzocort 6mg Tab
Lorsumo 8mg Tab
Lorsumo 4mg Tab
Lorsumo 8mg Inj
Ondem MD 8mg
Solufer XT Syrup
Halosol Cream
Halosol S Cream
Terbikem 250mg
Derrim Cream
Bitozed Tab
Phenykem 100mg Tab
