Aptimum Syp
TD-36 10mg Tab
TD-36 XP 20mg
Psedocef 1gm
Digemax Tab
Digeplex Syp
Digeplex Syp.
Digeplex RediSy
Digeplex Drop
Emidoxyn Forte
Emidoxyn Tab
Xtum 1.5gm Inj
Xtum 750mg Inj
Xtum 375mg Inj
Xtum O 325 Tab
Healex Plus Spr
Hynidase Vial
Imferon Amps
Imferon Vial
Imferon Forte
Imferon F12 Amp
Imferon Syp
Hibrid 375mg Tab
Hibrid 625mh TaB
Rabipace Tab
Julax Tab
Rallidex IN Dex
Medicream Oint.
Beneflora Cap
Beneflora Sach
Riboflovine Tab
Relyte Tumbler
V.B.C inj
V.B.C Cap
Relyte RTU Syp
Relyte Sach
Xenobid 550mg
Xenobiod Tab
Zimalgin Tab
Digeplex Tabs
T-Zox 1gm Inj
Ralcidin Forte
Primedase Forte
Calstron Tabs
Nimi-Rapi Tabs
Ralrox
Nimi Kid Rapi
Rallidex IN N.S
Nimi Rapi Susp
Primedase-5mg
Ralrox Kid
Swiftolac Syp
Colopax Tab
Lee-500mg Inj
Ralrox-A
Primidase-D Tab
Saril Tab
Lee-500mg Tab
Ralrox Suspn.
Rabepro-10mg
Rabepro-20mg
Virohep Tab
Valigud 10mg
Valigud 20mg
Swiftolac Syp
Lintran 600mg
Tamby 0.4mg
Saril Suspn.
Valigud 40mg
